Name,URL,Dynamic,Integrated,URL for description,Length,Unique Websites
Digital Analytics Program,https://analytics.usa.gov/data/live/sites-extended.csv,TRUE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dap.md,10000,1165
List of Federal .gov Domains,https://raw.githubusercontent.com/cisagov/dotgov-data/main/current-federal.csv,TRUE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dotgov-registry-federal.md,1400,955
pulse.cio.gov snapshot,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/pulse.csv,FALSE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/pulse-snapshot.md,24600,13563
web.mil List of Customers,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/dotmil_websites.csv,FALSE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dotmil-websites.md,1000,61
List of websites from OMB's 21st Century IDEA engagement,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/omb_idea.csv,TRUE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/omb_idea.md,9600,1451
Other .gov Websites,https://github.com/GSA/federal-website-index/blob/main/data/dataset/other-websites.csv,TRUE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/other-websites.md,10,0
EOT2020 Archive,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/2020_eot.csv,FALSE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/eot2020.md,8200,828
digitaldashboard.gov .mil list,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/dotmil_websites-2.csv,FALSE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/dotmil_websites-2.md,300,35
usa.gov list of websites,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/usagov_directory.csv,FALSE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/usagov_directory.md,1400,4
List of US Courts websites,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/uscourts.csv,FALSE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/uscourts.md,300,260
List of URLs in US Government Manual,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/gov_man-22.csv,FALSE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/us_government_manual-2022.md,6000,47
List of URLs in OIRA's Inventory Report of information collections,https://raw.githubusercontent.com/GSA/federal-website-index/main/data/dataset/oira.csv,FALSE,TRUE,https://github.com/GSA/federal-website-index/blob/main/data/source-descriptions/oira.md,7500,54
